Clase real,Errores MLP,Tasa error MLP (%),Errores CNN,Tasa error CNN (%),Diferencia errores MLP-CNN,Diferencia tasa MLP-CNN (pp)
Tomato___healthy,238,100.0,0,0.0,238,100.0
Tomato___Septoria_leaf_spot,266,100.0,3,1.1278195488721803,263,98.87218045112782
Tomato___Spider_mites Two-spotted_spider_mite,251,100.0,3,1.1952191235059761,248,98.80478087649402
Tomato___Leaf_Mold,143,100.0,2,1.3986013986013985,141,98.6013986013986
Tomato___Bacterial_spot,319,100.0,5,1.5673981191222568,314,98.43260188087774
Tomato___Target_Spot,211,100.0,5,2.3696682464454977,206,97.6303317535545
Tomato___Tomato_mosaic_virus,56,100.0,2,3.571428571428571,54,96.42857142857143
Tomato___Late_blight,253,88.7719298245614,5,1.7543859649122806,248,87.01754385964912
Tomato___Early_blight,150,100.0,22,14.666666666666666,128,85.33333333333333
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0.0,7,0.8717310087173101,-7,-0.8717310087173101
