Modelo,Clase real,N real,Correctas,Errores,Recall,Tasa de error,Tasa de error (%)
CNN,Tomato___Bacterial_spot,319,314,5,0.9843260188087775,0.01567398119122257,1.5673981191222568
CNN,Tomato___Early_blight,150,128,22,0.8533333333333334,0.14666666666666667,14.666666666666666
CNN,Tomato___Late_blight,285,280,5,0.9824561403508771,0.017543859649122806,1.7543859649122806
CNN,Tomato___Leaf_Mold,143,141,2,0.986013986013986,0.013986013986013986,1.3986013986013985
CNN,Tomato___Septoria_leaf_spot,266,263,3,0.9887218045112782,0.011278195488721804,1.1278195488721803
CNN,Tomato___Spider_mites Two-spotted_spider_mite,251,248,3,0.9880478087649402,0.01195219123505976,1.1952191235059761
CNN,Tomato___Target_Spot,211,206,5,0.976303317535545,0.023696682464454975,2.3696682464454977
CNN,Tomato___Tomato_Yellow_Leaf_Curl_Virus,803,796,7,0.9912826899128269,0.008717310087173101,0.8717310087173101
CNN,Tomato___Tomato_mosaic_virus,56,54,2,0.9642857142857143,0.03571428571428571,3.571428571428571
CNN,Tomato___healthy,238,238,0,1.0,0.0,0.0
