Clase real,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,0.9843260188087775,0.0,0.003134796238244514,0.0,0.0,0.0,0.003134796238244514,0.009404388714733543,0.0,0.0
Tomato___Early_blight,0.006666666666666667,0.8533333333333334,0.12,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0
Tomato___Late_blight,0.0,0.010526315789473684,0.9824561403508771,0.0,0.0035087719298245615,0.0,0.0,0.0,0.0,0.0035087719298245615
Tomato___Leaf_Mold,0.0,0.0,0.013986013986013986,0.986013986013986,0.0,0.0,0.0,0.0,0.0,0.0
Tomato___Septoria_leaf_spot,0.0037593984962406013,0.0,0.0037593984962406013,0.0037593984962406013,0.9887218045112782,0.0,0.0,0.0,0.0,0.0
Tomato___Spider_mites Two-spotted_spider_mite,0.0,0.0,0.0,0.0,0.0,0.9880478087649402,0.00796812749003984,0.0,0.00398406374501992,0.0
Tomato___Target_Spot,0.0,0.0,0.0,0.0,0.0,0.009478672985781991,0.976303317535545,0.0,0.004739336492890996,0.009478672985781991
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0062266500622665,0.0,0.0,0.0,0.0,0.0024906600249066002,0.0,0.9912826899128269,0.0,0.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.9642857142857143,0.0
Tomato___healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
