Clase real,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,0,0,0,0,0,0,0,319,0,0
Tomato___Early_blight,0,0,0,0,0,0,0,150,0,0
Tomato___Late_blight,0,0,32,0,0,0,0,253,0,0
Tomato___Leaf_Mold,0,0,0,0,0,0,0,143,0,0
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,266,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,251,0,0
Tomato___Target_Spot,0,0,0,0,0,0,0,211,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,803,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,56,0,0
Tomato___healthy,0,0,0,0,0,0,0,238,0,0
