,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,1.0,0.22294907759580765,0.26811882730025316,0.23556374970516678,0.11842725148386701,0.17068175750861767,0.1496236615399884,0.21420611425154243,0.1885383193419582,0.17778608529011336
Tomato___Early_blight,0.22294907759580765,1.0,0.3578508808558534,0.2480493051123201,0.13308485031868822,0.25684232443133187,0.218712847024066,0.20790112810618497,0.19593928805445288,0.19415793051069294
Tomato___Late_blight,0.26811882730025316,0.3578508808558534,1.0,0.31713726011831445,0.15118510389941334,0.29654797349471357,0.23443655118451004,0.2290568457956313,0.2502618536761394,0.22795741276434933
Tomato___Leaf_Mold,0.23556374970516678,0.2480493051123201,0.31713726011831445,1.0,0.17197987253853952,0.2658642327674858,0.22404041829562776,0.23252222429300148,0.33335915278722833,0.2401472055091634
Tomato___Septoria_leaf_spot,0.11842725148386701,0.13308485031868822,0.15118510389941334,0.17197987253853952,1.0,0.19839853933124502,0.1940228045183495,0.15689791369546222,0.18857259131645396,0.16282957233175066
Tomato___Spider_mites Two-spotted_spider_mite,0.17068175750861767,0.25684232443133187,0.29654797349471357,0.2658642327674858,0.19839853933124502,1.0,0.44669816512134297,0.1991700865969906,0.28232215262727467,0.2588785192175761
Tomato___Target_Spot,0.1496236615399884,0.218712847024066,0.23443655118451004,0.22404041829562776,0.1940228045183495,0.44669816512134297,1.0,0.16575548169428347,0.2575430692239556,0.27331707047528575
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.21420611425154243,0.20790112810618497,0.2290568457956313,0.23252222429300148,0.15689791369546224,0.1991700865969906,0.16575548169428347,1.0,0.185580559772074,0.16652356801956164
Tomato___Tomato_mosaic_virus,0.1885383193419582,0.19593928805445285,0.2502618536761394,0.33335915278722833,0.18857259131645396,0.28232215262727467,0.2575430692239556,0.185580559772074,1.0,0.33594738419447606
Tomato___healthy,0.17778608529011336,0.19415793051069294,0.22795741276434933,0.2401472055091634,0.16282957233175066,0.2588785192175761,0.27331707047528575,0.16652356801956164,0.33594738419447606,1.0
