Clase,R medio,G medio,B medio,Luminosidad,Contraste,Saturación,Textura
Tomato___Bacterial_spot,0.4033938917517662,0.43168685764074327,0.36997263550758364,0.42121535569429397,0.12201634727418423,0.2214651009440422,0.026190497819334267
Tomato___Early_blight,0.42235839754343035,0.43977774173021317,0.39058091163635256,0.43252179116010664,0.17117071993649005,0.2350245501101017,0.0389188446290791
Tomato___Late_blight,0.44269484423100947,0.448389113098383,0.3962186936661601,0.44341155879199506,0.15198216259479522,0.21424327448010444,0.03273481315001845
Tomato___Leaf_Mold,0.43284907907247544,0.455605129301548,0.4502327260375023,0.4503799641132355,0.1313808836787939,0.24590631246566771,0.03387437734752893
Tomato___Septoria_leaf_spot,0.5090438914299011,0.521101022362709,0.4613369655609131,0.514222827553749,0.13040670193731785,0.2614446778595447,0.03937279082834721
Tomato___Spider_mites Two-spotted_spider_mite,0.47606765151023867,0.4653598341345787,0.420942959189415,0.4644267666339874,0.15608994148671626,0.22206688061356544,0.04299283299595118
Tomato___Target_Spot,0.47133380651474,0.4732439947128296,0.43975568532943726,0.47041835129261017,0.1592429755628109,0.20062098905444145,0.048233142215758563
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4375615853071213,0.4707458719611168,0.3494035767018795,0.4549304831027985,0.12843574799597263,0.3023786769807339,0.03273261869326234
Tomato___Tomato_mosaic_virus,0.46565660774707796,0.4560404899716377,0.45930524319410326,0.4583204305171967,0.1164492930471897,0.21096238046884536,0.03975947322323918
Tomato___healthy,0.4437574717402458,0.46391659319400785,0.43092304825782773,0.45724730342626574,0.118399563357234,0.17324874117970468,0.04743135716766119
