Métrica / criterio,MLP,CNN
Accuracy,0.3067597354886113,0.9801616458486407
Balanced Accuracy,0.11122807017543859,0.9714770813517278
Precision Macro,0.12985130111524162,0.97566661339953
Recall Macro,0.11122807017543859,0.9714770813517278
F1 Macro,0.06616694407291374,0.9730578705496328
F1 Weighted,0.15677447438101352,0.9800077634980139
Error Rate,0.6932402645113886,0.01983835415135926
Aciertos,835.0,2668.0
Errores,1887.0,54.0
Número de parámetros,6300490.0,424042.0
Tiempo de entrenamiento (s),,
Mejor época,,
