Clase,Soporte Test,Recall MLP,Recall CNN,Diferencia CNN - MLP
Tomato___Bacterial_spot,319,0.0,0.9843260188087775,0.9843260188087775
Tomato___Early_blight,150,0.0,0.8533333333333334,0.8533333333333334
Tomato___Late_blight,285,0.11228070175438597,0.9824561403508771,0.8701754385964912
Tomato___Leaf_Mold,143,0.0,0.986013986013986,0.986013986013986
Tomato___Septoria_leaf_spot,266,0.0,0.9887218045112782,0.9887218045112782
Tomato___Spider_mites Two-spotted_spider_mite,251,0.0,0.9880478087649402,0.9880478087649402
Tomato___Target_Spot,211,0.0,0.976303317535545,0.976303317535545
Tomato___Tomato_Yellow_Leaf_Curl_Virus,803,1.0,0.9912826899128269,-0.008717310087173136
Tomato___Tomato_mosaic_virus,56,0.0,0.9642857142857143,0.9642857142857143
Tomato___healthy,238,0.0,1.0,1.0
