Modelo,Posición,Nombre de capa,Tipo de capa,Parámetros,Participación
CNN,0,imagen_entrada,InputLayer,0,0.0
CNN,1,conv_bloque_1,Conv2D,864,0.002037534017856722
CNN,2,batch_norm_1,BatchNormalization,128,0.00030185689153432914
CNN,3,relu_1,Activation,0,0.0
CNN,4,max_pool_1,MaxPooling2D,0,0.0
CNN,5,conv_bloque_2,Conv2D,18432,0.043467392380943395
CNN,6,batch_norm_2,BatchNormalization,256,0.0006037137830686583
CNN,7,relu_2,Activation,0,0.0
CNN,8,max_pool_2,MaxPooling2D,0,0.0
CNN,9,conv_bloque_3,Conv2D,73728,0.17386956952377358
CNN,10,batch_norm_3,BatchNormalization,512,0.0012074275661373166
CNN,11,relu_3,Activation,0,0.0
CNN,12,max_pool_3,MaxPooling2D,0,0.0
CNN,13,conv_bloque_4,Conv2D,294912,0.6954782780950943
CNN,14,batch_norm_4,BatchNormalization,1024,0.002414855132274633
CNN,15,relu_4,Activation,0,0.0
CNN,16,max_pool_4,MaxPooling2D,0,0.0
CNN,17,global_average_pooling,GlobalAveragePooling2D,0,0.0
CNN,18,dense_caracteristicas,Dense,32896,0.0775772211243226
CNN,19,dropout_cnn,Dropout,0,0.0
CNN,20,salida_cnn,Dense,1290,0.003042151484994411
