clase,Cantidad,Participacion_%
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,29.521657665601236
Tomato___Bacterial_spot,2127,11.72159153532459
Tomato___Late_blight,1901,10.476137991843933
Tomato___Septoria_leaf_spot,1771,9.759726661523201
Tomato___Spider_mites Two-spotted_spider_mite,1676,9.236195304750359
Tomato___healthy,1585,8.734707373525847
Tomato___Target_Spot,1404,7.737242367463903
Tomato___Early_blight,1000,5.510856387082553
Tomato___Leaf_Mold,952,5.24633528050259
Tomato___Tomato_mosaic_virus,373,2.055549432381792
