clase,Train,Validation,Test,Total,Train_%,Validation_%,Test_%
Tomato___Bacterial_spot,1489,319,319,2127,70.00470145745182,14.997649271274094,14.997649271274094
Tomato___Early_blight,700,150,150,1000,70.0,15.0,15.0
Tomato___Late_blight,1331,285,285,1901,70.01578116780641,14.992109416096792,14.992109416096792
Tomato___Leaf_Mold,666,143,143,952,69.9579831932773,15.021008403361344,15.021008403361344
Tomato___Septoria_leaf_spot,1240,265,266,1771,70.01693958215698,14.963297571993225,15.019762845849801
Tomato___Spider_mites Two-spotted_spider_mite,1173,252,251,1676,69.98806682577565,15.035799522673033,14.976133651551313
Tomato___Target_Spot,983,210,211,1404,70.01424501424502,14.957264957264957,15.02849002849003
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3750,804,803,5357,70.00186671644578,15.008400224005975,14.989733059548255
Tomato___Tomato_mosaic_virus,261,56,56,373,69.97319034852548,15.013404825737265,15.013404825737265
Tomato___healthy,1109,238,238,1585,69.96845425867508,15.015772870662461,15.015772870662461
